Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
Willowood Chemicals,4.3,121,Agro Chemicals,Vadodara +33 other locations,"Work Life Balance, Work Satisfaction, Job Security",None
Xome,4.2,121,Internet,Chennai +4 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Sri Ranganathar Industries,3.5,121,Industrial Machinery,Coimbatore +6 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Livesalesman,4.6,121,BPO,Noida +6 other locations,"Work Satisfaction, Salary & Benefits, Company Culture",None
Steer Engineering,3.7,121,Engineering & Construction,Bangalore / Bengaluru +3 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
A2z Infra Engineering,3.8,121,Engineering & Construction,Gurgaon / Gurugram +21 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Hyatt Place,4.4,121,Hospitality,Pune +19 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Solulab inc,3.8,121,IT Services & Consulting,Ahmedabad +2 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",None
HEPL - A Cavinkare Group Company,3.8,121,N/A,Cuddalore +11 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Essencea Infoserv,2.5,121,BPO,Hyderabad / Secunderabad +4 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Ferromatik Milacron,3.9,121,Industrial Machinery,Ahmedabad +8 other locations,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Satec Envir Engineering (I),4.2,121,Engineering & Construction,Mumbai +5 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
Deshpande Foundation,3.9,121,Non-Profit,Hubli +19 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Cashfree Payments,3.5,121,FinTech,Bangalore / Bengaluru +4 other locations,None,"Job Security, Promotions / Appraisal, Skill Development / Learning"
DesiCrew Solutions,3.5,121,Financial Services,Chennai +10 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Cherise India,4.6,121,Beverage,Pune +4 other locations,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",None
HelpAge India,4.3,121,Non-Profit,New Delhi +45 other locations,"Work Satisfaction, Company Culture, Work Life Balance",Promotions / Appraisal
Nirmal Industrial Controls,3.8,121,Industrial Automation,Mumbai +18 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
