Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
TCS,3.7,85.2k,IT Services & Consulting,Bangalore / Bengaluru +375 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,53.3k,IT Services & Consulting,Bangalore / Bengaluru +193 other locations,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Wipro,3.7,50.6k,IT Services & Consulting,Bangalore / Bengaluru +338 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Cognizant,3.8,47.7k,IT Services & Consulting,Chennai +191 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.8,39.4k,IT Services & Consulting,Bangalore / Bengaluru +155 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,37.9k,Banking,Mumbai +1622 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Infosys,3.7,36.9k,IT Services & Consulting,Bangalore / Bengaluru +196 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,4.0,36.9k,Banking,Mumbai +1329 other locations,"Job Security, Skill Development / Learning, Company Culture",None
HCLTech,3.5,34.2k,IT Services & Consulting,Chennai +199 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,33.4k,IT Services & Consulting,Hyderabad / Secunderabad +285 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,30.1k,IT Services & Consulting,Hyderabad / Secunderabad +133 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9,27.8k,BPO,Mumbai +205 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Concentrix Corporation,3.8,25.3k,BPO,Bangalore / Bengaluru +138 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Axis Bank,3.8,24.4k,Banking,Mumbai +1355 other locations,None,Promotions / Appraisal
Amazon,4.1,24.1k,Internet,Bangalore / Bengaluru +458 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
Jio,3.9,21.8k,N/A,Mumbai +1202 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,21.5k,Retail,Mumbai +1041 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
IBM,4.1,21.3k,IT Services & Consulting,Bangalore / Bengaluru +154 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
iEnergizer,4.7,21.2k,BPO,Noida +38 other locations,"Skill Development / Learning, Company Culture, Job Security",None
LTIMindtree,3.9,19.9k,IT Services & Consulting,Bangalore / Bengaluru +125 other locations,"Work Life Balance, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
HDB Financial Services,4.0,19.6k,NBFC,Mumbai +987 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Larsen & Toubro Limited,4.0,17.9k,Engineering & Construction,Chennai +650 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Deloitte,3.8,16.9k,Management Consulting,Hyderabad / Secunderabad +157 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
BYJU'S,3.1,16k,EdTech,Bangalore / Bengaluru +310 other locations,None,"Job Security, Work Life Balance, Company Culture"
Kotak Mahindra Bank,3.8,15.9k,Banking,Mumbai +607 other locations,Job Security,Promotions / Appraisal
Reliance Industries,4.1,15.2k,Oil & Gas,Jamnagar +721 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Vodafone Idea,4.1,15k,Telecom,Pune +658 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Bharti Airtel,4.0,13.2k,Telecom,Gurgaon / Gurugram +697 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal
Tata Motors,4.2,11.5k,Automobile,Pune +463 other locations,"Job Security, Skill Development / Learning, Company Culture",None
AU Small Finance Bank,4.3,11.3k,Banking,Jaipur +691 other locations,"Skill Development / Learning, Job Security, Company Culture",None
WNS,3.4,10.6k,BPO,Pune +43 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Flipkart,4.0,10.4k,Internet,Bangalore / Bengaluru +523 other locations,"Skill Development / Learning, Company Culture, Job Security",None
IndusInd Bank,3.6,10.3k,Banking,Mumbai +716 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,3.5,10.1k,Management Consulting,Bangalore / Bengaluru +110 other locations,None,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
IDFC FIRST Bank,4.0,9.8k,Banking,Mumbai +618 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
DXC Technology,3.7,9.6k,IT Services & Consulting,Bangalore / Bengaluru +102 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Mahindra & Mahindra,4.1,9.5k,Automobile,Pune +503 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Infosys BPM,3.7,9.2k,BPO,Bangalore / Bengaluru +76 other locations,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Bajaj Finserv,4.0,8.8k,Financial Services,Pune +973 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
HDFC Life,4.0,8.6k,Insurance,Mumbai +599 other locations,"Skill Development / Learning, Job Security, Company Culture",None
PwC,3.4,8.6k,Management Consulting,Bangalore / Bengaluru +105 other locations,None,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Conneqt Business Solutions,3.7,8.5k,BPO,Hyderabad / Secunderabad +239 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mphasis,3.4,7.9k,IT Services & Consulting,Bangalore / Bengaluru +53 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yes Bank,3.8,7.3k,Banking,Mumbai +473 other locations,None,None
Startek,3.2,7.2k,N/A,Bangalore / Bengaluru +74 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bandhan Bank,3.7,7.1k,Banking,Kolkata +837 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
Paytm,3.3,7.1k,FinTech,Noida +342 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
Asian Paints,4.0,7.1k,Chemicals,Mumbai +467 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
Maruti Suzuki,4.2,7k,Automobile,Gurgaon / Gurugram +375 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Samsung,4.0,7k,Consumer Electronics & Appliances,Noida +530 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Ericsson,4.2,6.9k,Telecom,Noida +151 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Quess,3.9,6.9k,BPO,Bangalore / Bengaluru +607 other locations,None,Promotions / Appraisal
Shriram Finance,4.1,6.8k,NBFC,Chennai +994 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Tata Steel,4.1,6.8k,Iron & Steel,Jamshedpur +195 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
HGS,3.9,6.8k,BPO,Bangalore / Bengaluru +108 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
EXL Service,3.7,6.8k,Analytics & KPO,Noida +49 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Muthoot Fincorp,4.5,6.7k,NBFC,Bangalore / Bengaluru +830 other locations,"Skill Development / Learning, Company Culture, Job Security",None
UltraTech Cement,4.2,6.6k,Building Material,Mumbai +449 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Cipla,4.1,6.6k,Pharma,Mumbai +254 other locations,"Skill Development / Learning, Salary & Benefits, Work Life Balance",None
Dr. Reddy's,4.1,6.6k,Pharma,Hyderabad / Secunderabad +179 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Sutherland Global Services,3.7,6.5k,IT Services & Consulting,Chennai +61 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Bajaj Finance,4.0,6.4k,NBFC,Pune +821 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
Wells Fargo,3.9,6k,Financial Services,Bangalore / Bengaluru +22 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
ICICI Prudential Life Insurance,4.1,6k,Insurance,Mumbai +469 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
Amazon Development Centre India,4.1,5.9k,Internet,Hyderabad / Secunderabad +96 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Jana Small Finance Bank,3.8,5.9k,Banking,Bangalore / Bengaluru +368 other locations,None,None
Equitas Small Finance Bank,4.5,5.9k,Banking,Chennai +417 other locations,"Job Security, Company Culture, Work Life Balance",None
Delhivery,3.9,5.8k,Logistics,Gurgaon / Gurugram +661 other locations,Skill Development / Learning,Promotions / Appraisal
Lupin,4.2,5.8k,Pharma,Pune +178 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Zydus Lifesciences,4.1,5.8k,Pharma,Ahmedabad +158 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
JPMorgan Chase & Co.,4.1,5.8k,Financial Services,Bangalore / Bengaluru +37 other locations,"Job Security, Company Culture, Skill Development / Learning",None
L&T Construction,4.0,5.7k,Engineering & Construction,Chennai +371 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
Sun Pharmaceutical Industries,4.1,5.6k,Pharma,Vadodara +218 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",None
Hexaware Technologies,3.6,5.5k,IT Services & Consulting,Chennai +54 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JSW Steel,3.9,5.4k,Iron & Steel,Ballari +155 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ITC,4.0,5.4k,FMCG,Bangalore / Bengaluru +327 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
HCL Group,3.7,5.4k,IT Services & Consulting,Chennai +81 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Indian Army,4.7,5.4k,Defence & Aerospace,New Delhi +339 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Hindustan Unilever,4.2,5.3k,FMCG,Mumbai +459 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
FIS,3.9,5.3k,FinTech,Pune +49 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
KPMG India,3.5,5.2k,Management Consulting,Bangalore / Bengaluru +92 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Max Life Insurance,4.1,5.1k,Insurance,New Delhi +426 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Ujjivan Small Finance Bank,4.1,5.1k,Banking,Bangalore / Bengaluru +467 other locations,"Company Culture, Job Security, Skill Development / Learning",None
IIFL Finance,4.0,5.1k,NBFC,Mumbai +718 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits",None
Oracle,3.7,5k,Emerging Technologies,Bangalore / Bengaluru +51 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Udaan,4.0,5k,Internet,Bangalore / Bengaluru +343 other locations,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
Tata Projects,4.3,4.9k,Engineering & Construction,Mumbai +249 other locations,"Job Security, Company Culture, Salary & Benefits",None
Ekart Logistics,4.0,4.8k,N/A,Bangalore / Bengaluru +653 other locations,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Megha Engineering & Infrastructures,3.9,4.8k,Engineering & Construction,Hyderabad / Secunderabad +327 other locations,Job Security,Promotions / Appraisal
Muthoot Finance,3.6,4.8k,NBFC,Bangalore / Bengaluru +684 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
eClerx,3.4,4.7k,IT Services & Consulting,Pune +22 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Omega Healthcare,3.8,4.7k,BPO,Bangalore / Bengaluru +56 other locations,None,"Promotions / Appraisal, Salary & Benefits"
JLL,4.1,4.6k,Real Estate,Gurgaon / Gurugram +72 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Aurobindo Pharma,4.0,4.6k,Pharma,Hyderabad / Secunderabad +96 other locations,"Job Security, Salary & Benefits, Work Life Balance",None
Bajaj Allianz Life Insurance,4.0,4.6k,Insurance,Pune +534 other locations,"Salary & Benefits, Work Life Balance, Job Security",None
Siemens,4.1,4.5k,Industrial Automation,Bangalore / Bengaluru +139 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Shapoorji Pallonji Group,4.2,4.5k,Engineering & Construction,Mumbai +178 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Coforge,3.4,4.5k,IT Services & Consulting,Noida +93 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HSBC Group,4.0,4.5k,Financial Services,Bangalore / Bengaluru +53 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Indiamart Intermesh,3.6,4.5k,Internet,Noida +148 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Virtusa Consulting Services,3.8,4.5k,IT Services & Consulting,Hyderabad / Secunderabad +43 other locations,None,Promotions / Appraisal
L&T Technology Services,3.3,4.5k,IT Services & Consulting,Bangalore / Bengaluru +66 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Apollo Hospitals,4.1,4.4k,Healthcare,Chennai +197 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Ashok Leyland,4.1,4.4k,Automobile,Chennai +224 other locations,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Firstsource Solutions,3.7,4.4k,BPO,Bangalore / Bengaluru +56 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Standard Chartered,3.8,4.3k,Banking,Chennai +62 other locations,Job Security,Promotions / Appraisal
DMart,4.0,4.3k,Retail,Mumbai +218 other locations,"Job Security, Company Culture",Promotions / Appraisal
BigBasket,3.9,4.3k,Internet,Bangalore / Bengaluru +123 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ICICI Lombard General Insurance Company,3.7,4.3k,Insurance,Mumbai +275 other locations,None,"Promotions / Appraisal, Work Satisfaction"
CGI Group,4.0,4.3k,IT Services & Consulting,Bangalore / Bengaluru +33 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
JustDial,3.5,4.3k,Internet,Noida +191 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
Cyient,3.7,4.3k,IT Services & Consulting,Hyderabad / Secunderabad +39 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
GlobalLogic,3.7,4.3k,IT Services & Consulting,Hyderabad / Secunderabad +45 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Hero MotoCorp,4.2,4.3k,Automobile,Gurgaon / Gurugram +325 other locations,"Work Life Balance, Company Culture, Job Security",None
Vivo,4.1,4.2k,Consumer Electronics & Appliances,Noida +384 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Mahindra Finance,4.1,4.2k,NBFC,Mumbai +662 other locations,"Company Culture, Work Life Balance, Job Security",None
Home Credit Finance,4.1,4.2k,NBFC,Gurgaon / Gurugram +120 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Cholamandalam Investment & Finance,4.0,4.2k,Financial Services,Chennai +703 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",None
Eviden,3.6,4.2k,IT Services & Consulting,Pune +33 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Bosch Global Software Technologies,4.0,4.1k,Software Product,Bangalore / Bengaluru +32 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
UST,3.8,4.1k,IT Services & Consulting,Bangalore / Bengaluru +38 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Manappuram Finance,4.0,4k,NBFC,Bangalore / Bengaluru +543 other locations,"Skill Development / Learning, Promotions / Appraisal",None
OPPO,4.0,4k,Consumer Electronics & Appliances,Noida +379 other locations,Skill Development / Learning,Promotions / Appraisal
Nagarro,4.0,4k,IT Services & Consulting,Gurgaon / Gurugram +40 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
SMFG India Credit,4.0,4k,NBFC,Mumbai +514 other locations,"Salary & Benefits, Job Security, Company Culture",None
TVS Motor,4.0,4k,Automobile,Hosur +292 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",None
SBI Cards & Payment Services,3.7,3.9k,Financial Services,New Delhi +373 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
IQVIA,3.9,3.9k,Clinical Research,Bangalore / Bengaluru +50 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Optum,4.0,3.9k,Healthcare,Hyderabad / Secunderabad +37 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Swiggy,3.8,3.9k,Internet,Bangalore / Bengaluru +198 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
Atos,3.9,3.9k,IT Services & Consulting,Pune +47 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
BNY,4.0,3.9k,Financial Services,Pune +18 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Kalpataru Projects International,4.2,3.9k,Engineering & Construction,Mumbai +271 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
Amdocs,3.8,3.8k,Software Product,Pune +18 other locations,Company Culture,"Promotions / Appraisal, Work Satisfaction"
State Bank of India,3.8,3.7k,Banking,Mumbai +523 other locations,"Job Security, Salary & Benefits",Work Life Balance
Hewlett Packard Enterprise,4.2,3.7k,IT Services & Consulting,Bangalore / Bengaluru +92 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
CBRE,4.2,3.7k,Real Estate,Hyderabad / Secunderabad +79 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Bosch,4.2,3.7k,Auto Components,Bangalore / Bengaluru +107 other locations,"Company Culture, Work Life Balance, Job Security",None
Hyundai Motor India Limited,4.3,3.7k,Automobile,Chennai +275 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Persistent Systems,3.5,3.7k,IT Services & Consulting,Pune +35 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Dell,4.1,3.7k,Consumer Electronics & Appliances,Bangalore / Bengaluru +101 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
SBI Life Insurance Company,3.8,3.6k,Insurance,Mumbai +569 other locations,Job Security,Promotions / Appraisal
JBM Group,4.0,3.6k,Auto Components,Gurgaon / Gurugram +92 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Schneider Electric,4.2,3.6k,Industrial Automation,Bangalore / Bengaluru +108 other locations,"Company Culture, Work Life Balance, Job Security",None
Marpu Foundation,4.9,3.6k,Non-Profit,Hyderabad / Secunderabad +55 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",None
Ecom Express,3.9,3.6k,Logistics,Gurgaon / Gurugram +659 other locations,None,Promotions / Appraisal
NTT Data,3.9,3.6k,IT Services & Consulting,Bangalore / Bengaluru +58 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
KEC International,4.1,3.5k,Engineering & Construction,Mumbai +275 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
ITC Infotech,3.8,3.5k,IT Services & Consulting,Bangalore / Bengaluru +55 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Piramal Capital Housing Finance,4.2,3.5k,NBFC,Mumbai +352 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",None
Bajaj Auto,3.9,3.5k,Automobile,Pune +280 other locations,Company Culture,Promotions / Appraisal
Nagarjuna Construction Company,4.1,3.5k,Engineering & Construction,Hyderabad / Secunderabad +236 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Oyo Rooms,3.3,3.5k,Hospitality,Gurgaon / Gurugram +119 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Aditya Birla Fashion and Retail,4.2,3.5k,Fashion & Textile,Bangalore / Bengaluru +242 other locations,"Job Security, Skill Development / Learning, Company Culture",None
CARS24,3.6,3.4k,Internet,Gurgaon / Gurugram +155 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
Reliance Communications,4.0,3.4k,Telecom,Mumbai +438 other locations,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
Varun Beverages,4.1,3.3k,Beverage,New Delhi +309 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Randstad,3.8,3.3k,Recruitment,Hyderabad / Secunderabad +281 other locations,None,"Promotions / Appraisal, Job Security"
PolicyBazaar,3.6,3.3k,Internet,Gurgaon / Gurugram +106 other locations,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
EY Global Delivery Services ( EY GDS),3.6,3.3k,Accounting & Auditing,Bangalore / Bengaluru +40 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
L&T Finance,4.0,3.3k,NBFC,Mumbai +504 other locations,"Salary & Benefits, Skill Development / Learning",None
Tata Communications,4.1,3.3k,Telecom,Pune +93 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Intas Pharmaceuticals,4.1,3.2k,N/A,Ahmedabad +127 other locations,"Job Security, Salary & Benefits, Work Life Balance",None
Deutsche Bank,3.9,3.2k,Banking,Pune +39 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
John Deere,4.1,3.2k,Industrial Machinery,Pune +121 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Kogta Financial India Limited,4.8,3.2k,NBFC,Jaipur +229 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Royal Enfield,4.2,3.2k,Automobile,Chennai +328 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Team Lease,3.9,3.2k,Recruitment,Bangalore / Bengaluru +330 other locations,None,Promotions / Appraisal
LG Electronics,4.0,3.2k,Consumer Electronics & Appliances,Pune +266 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
R1 RCM,3.9,3.2k,BPO,New Delhi +37 other locations,"Job Security, Company Culture, Work Life Balance",None
Thermax Limited,4.2,3.2k,Industrial Machinery,Pune +196 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Havells,4.0,3.1k,Electrical Equipment,Noida +199 other locations,"Work Life Balance, Salary & Benefits, Company Culture",None
Macleods Pharmaceuticals,3.6,3.1k,N/A,Mumbai +109 other locations,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
HDFC Ergo General Insurance,4.0,3.1k,Insurance,Mumbai +273 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Access Healthcare,3.9,3.1k,Analytics & KPO,Chennai +34 other locations,"Job Security, Company Culture",Promotions / Appraisal
Hetero Drugs,3.9,3.1k,Pharma,Hyderabad / Secunderabad +50 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Tata AIA Life Insurance,4.0,3.1k,Insurance,Mumbai +365 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Aakash Educational Services,3.5,3.1k,Education & Training,New Delhi +219 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Publicis Sapient,3.5,3k,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Godrej & Boyce Manufacturing,3.9,3k,Consumer Electronics & Appliances,Mumbai +136 other locations,Job Security,Promotions / Appraisal
Cummins,4.3,3k,Industrial Machinery,Pune +93 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Future Group,4.3,3k,Retail,Mumbai +202 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Samvardhana Motherson Group,3.8,3k,Auto Components,Noida +80 other locations,Job Security,"Promotions / Appraisal, Work Life Balance"
PVR Inox,4.0,3k,Media & Entertainment,New Delhi +137 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
VE Commercial Vehicles,4.0,3k,Automobile,Indore +135 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Viatris,4.2,3k,Pharma,Hyderabad / Secunderabad +74 other locations,"Salary & Benefits, Job Security, Work Life Balance",None
DCB Bank,3.8,3k,Banking,Mumbai +313 other locations,Work Life Balance,None
Utkarsh Small Finance Bank,3.9,3k,Banking,Varanasi +331 other locations,None,None
Subros,3.9,3k,Auto Components,Noida +63 other locations,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Abbott,4.2,3k,Pharma,Mumbai +183 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal
American Express,4.2,3k,Financial Services,Gurgaon / Gurugram +42 other locations,"Company Culture, Work Life Balance, Job Security",None
Square Yards,4.1,3k,Real Estate,Gurgaon / Gurugram +44 other locations,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
Pidilite Industries,4.3,3k,Chemicals,Mumbai +258 other locations,"Job Security, Company Culture, Work Life Balance",None
Indian Oil Corporation,4.4,2.9k,Oil & Gas,New Delhi +279 other locations,"Company Culture, Work Life Balance, Job Security",None
Berger Paints,3.7,2.9k,Chemicals,Kolkata +279 other locations,None,"Promotions / Appraisal, Work Life Balance, Company Culture"
Automatic Data Processing (ADP),4.0,2.9k,Software Product,Hyderabad / Secunderabad +31 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Alembic Pharmaceuticals,4.0,2.9k,Pharma,Vadodara +159 other locations,"Salary & Benefits, Work Life Balance",None
Sodexo,4.1,2.9k,Facility Management Services,Mumbai +139 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Bharat Electronics,4.2,2.9k,Electronics Manufacturing,Bangalore / Bengaluru +61 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Carelon Global Solutions,4.0,2.9k,Software Product,Bangalore / Bengaluru +18 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Whitehat jr,3.5,2.9k,EdTech,Mumbai +50 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Lenskart,3.2,2.9k,Internet,New Delhi +190 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Reliance Projects & Property Management Services,4.0,2.9k,IT Services & Consulting,Kolkata +549 other locations,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
Hindalco Industries,4.2,2.9k,Metals & Mining,Sambalpur +100 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Bank of America,4.3,2.8k,Banking,Gurgaon / Gurugram +29 other locations,"Job Security, Work Life Balance, Company Culture",None
Dabur,4.0,2.8k,FMCG,New Delhi +276 other locations,"Salary & Benefits, Job Security, Work Life Balance",None
Ford Motor,4.4,2.8k,Automobile,Chennai +115 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
RBL Bank,3.7,2.8k,Banking,Mumbai +241 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Jindal Steel and Power,4.0,2.8k,Iron & Steel,Angul +138 other locations,"Skill Development / Learning, Job Security",None
Alkem Laboratories,3.9,2.8k,Pharma,Mumbai +172 other locations,Salary & Benefits,None
Maersk,4.3,2.8k,Logistics,Chennai +42 other locations,"Work Life Balance, Company Culture, Job Security",None
Cogent E Services,3.3,2.8k,N/A,Noida +44 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
